id,accountNumber,agentId,cpuType,hostName,hypervisor,osName,osVersion,smBiosId,type,state,creationTimeStamp,lastModifiedTimeStamp,agentProvidedTimeStamp
d-server-08beb3349ce1ce878,049450565398,,vCPU,CTXUSSECAPP03PD.global.com,VMware ESXi,windowsGuest,windows9Server64Guest,42010aed-ac0b-5099-c147-0620a0913626,VMWARE_VM,ACTIVE,2018-06-22 17:18:35,2018-09-20 14:53:33,
d-server-0086e334aaaf2b8ad,049450565398,,vCPU,phd-adtraq.global.com,VMware ESXi,,Microsoft Windows Server 2003 Standard (32-bit),42014e27-3369-f80c-4847-1b5442e56539,VMWARE_VM,ACTIVE,2018-06-22 17:18:34,2018-07-31 14:58:19,
d-server-0ce8c5f667b806338,049450565398,,vCPU,,VMware ESXi,,Microsoft Windows Server 2012 (64-bit),4201eaea-7e20-6426-ca9f-158e2d8d0ba9,VMWARE_VM,ACTIVE,2018-06-22 17:18:23,2018-09-20 14:52:37,
d-server-0eb3fc2d04df2e8d0,049450565398,,vCPU,NAIDCSCOMRS.global.com,VMware ESXi,windowsGuest,Microsoft Windows Server 2008 R2 (64-bit),4201b8f9-d1d5-b1b7-32ab-3b6068a928c4,VMWARE_VM,ACTIVE,2018-06-22 17:18:30,2018-09-20 14:52:42,
d-server-0cd22d183cb3ef7fb,049450565398,,vCPU,MIABACKUP.global.com,VMware ESXi,windowsGuest,Microsoft Windows Server 2012 (64-bit),42014c5d-d789-c5e7-b532-07d4eb210363,VMWARE_VM,ACTIVE,2018-06-22 17:17:17,2018-09-04 14:37:58,
d-server-0242797a51e7a8a25,049450565398,,vCPU,CTXUSSECAPP06PD.global.com,VMware ESXi,windowsGuest,windows9Server64Guest,420140da-eab1-6526-12b3-54c344360841,VMWARE_VM,ACTIVE,2018-06-22 17:18:36,2018-09-20 14:53:33,
d-server-06b6bd3694eb7fbb3,049450565398,,vCPU,PRSUSJCHWR201PD.HUBRESOURCE.PVT,VMware ESXi,windowsGuest,Microsoft Windows Server 2012 (64-bit),4201cb6a-2214-38e8-563b-8560a80d4a00,VMWARE_VM,ACTIVE,2018-06-22 17:18:23,2018-09-20 14:52:40,
d-server-03e1000b0e09b1276,049450565398,,vCPU,NUSTWPAPPDHC04.globalad.org,VMware ESXi,windowsGuest,Microsoft Windows Server 2012 (64-bit),420172f9-57dc-55c1-47aa-75bdabeee080,VMWARE_VM,ACTIVE,2018-06-22 17:17:24,2018-09-20 14:52:40,
d-server-07da1c79749d25097,049450565398,,vCPU,,VMware ESXi,,Microsoft Windows 7 (64-bit),420105a4-02d7-487e-6e2e-24636ed70017,VMWARE_VM,ACTIVE,2018-06-22 17:18:34,2018-09-20 14:52:35,
d-server-001c660a62c149787,049450565398,,vCPU,NAIDCWEB2.global.com,VMware ESXi,windowsGuest,Microsoft Windows Server 2008 R2 (64-bit),4201f8df-a58b-1a5b-fda7-8e8dda7dab60,VMWARE_VM,ACTIVE,2018-06-22 17:18:33,2018-09-20 14:52:42,
d-server-077698cd80c30e3ff,049450565398,,vCPU,NAIDCAXDEV5v.global.com,VMware ESXi,windowsGuest,Microsoft Windows Server 2012 (64-bit),42014806-86c8-4259-08a7-1dfd5b255794,VMWARE_VM,ACTIVE,2018-06-22 17:18:24,2018-09-20 14:52:43,
d-server-0c2eb66b63030e944,049450565398,,vCPU,JER-SYNC01.sscg.local,VMware ESXi,windowsGuest,Microsoft Windows Server 2012 (64-bit),42013038-51a8-c4cc-865b-e710b21408a1,VMWARE_VM,ACTIVE,2018-06-27 19:28:31,2018-09-20 14:52:40,
d-server-048933359b096f25f,049450565398,,vCPU,keys.oneomg.com,VMware ESXi,linuxGuest,CentOS 4/5/6 (32-bit),42012be4-f1ec-c3c5-275c-07b3cb9b40ac,VMWARE_VM,ACTIVE,2018-06-22 17:18:29,2018-09-20 14:52:41,
d-server-0da1feafc68c6bf7c,049450565398,,vCPU,DETBACKUP.global.com,VMware ESXi,windowsGuest,Microsoft Windows Server 2012 (64-bit),4201ed8f-2383-bcb2-7310-9da6db2327e7,VMWARE_VM,ACTIVE,2018-06-22 17:17:21,2018-09-20 14:52:40,
