,attributes.capacitystatus,attributes.clockSpeed,attributes.currentGeneration,attributes.dedicatedEbsThroughput,attributes.ebsOptimized,attributes.ecu,attributes.elasticGpuType,attributes.enhancedNetworkingSupported,attributes.fromLocation,attributes.fromLocationType,attributes.gpu,attributes.gpuMemory,attributes.group,attributes.groupDescription,attributes.instance,attributes.instanceCapacity10xlarge,attributes.instanceCapacity12xlarge,attributes.instanceCapacity16xlarge,attributes.instanceCapacity18xlarge,attributes.instanceCapacity24xlarge,attributes.instanceCapacity2xlarge,attributes.instanceCapacity32xlarge,attributes.instanceCapacity4xlarge,attributes.instanceCapacity8xlarge,attributes.instanceCapacity9xlarge,attributes.instanceCapacityLarge,attributes.instanceCapacityMedium,attributes.instanceCapacityXlarge,attributes.instanceFamily,attributes.instanceType,attributes.intelAvx2Available,attributes.intelAvxAvailable,attributes.intelTurboAvailable,attributes.licenseModel,attributes.location,attributes.locationType,attributes.maxIopsBurstPerformance,attributes.maxIopsvolume,attributes.maxThroughputvolume,attributes.maxVolumeSize,attributes.memory,attributes.networkPerformance,attributes.normalizationSizeFactor,attributes.operatingSystem,attributes.operation,attributes.physicalCores,attributes.physicalProcessor,attributes.preInstalledSw,attributes.processorArchitecture,attributes.processorFeatures,attributes.provisioned,attributes.servicecode,attributes.servicename,attributes.storage,attributes.storageMedia,attributes.tenancy,attributes.toLocation,attributes.toLocationType,attributes.transferType,attributes.usagetype,attributes.vcpu,attributes.volumeType,productFamily,sku
203,Used,,Yes,,,10,,,,,,,,,,,,,,,,,,,,,,,Memory optimized,r5d.large,,,,No License required,US East (N. Virginia),AWS Region,,,,,16 GiB,10 Gigabit,4,Windows,RunInstances:0002,,Intel Xeon Platinum 8175,NA,64-bit,,,AmazonEC2,Amazon Elastic Compute Cloud,1 x 75 NVMe SSD,,Host,,,,HostBoxUsage:r5d.large,2,,Compute Instance,SQPN6EGD5XKGFAVF
217,Used,2.8 GHz,No,,,28,,Yes,,,,,,,,,,,,,,,,,,,,,Compute optimized,c3.2xlarge,,,,No License required,US East (N. Virginia),AWS Region,,,,,15 GiB,High,16,SUSE,RunInstances:000g,,Intel Xeon E5-2680 v2 (Ivy Bridge),NA,64-bit,Intel AVX; Intel Turbo,,AmazonEC2,Amazon Elastic Compute Cloud,2 x 80 SSD,,Shared,,,,BoxUsage:c3.2xlarge,8,,Compute Instance,W3WU9RECE72NMJ77
232,Used,3.0 Ghz,Yes,Upto 2250 Mbps,,34,,Yes,,,,,,,,,,,,,,,,,,,,,Compute optimized,c5d.2xlarge,,,,No License required,US East (N. Virginia),AWS Region,,,,,16 GiB,Up to 10 Gigabit,16,Windows,RunInstances:0006,,Intel Xeon Platinum 8124M,SQL Std,64-bit,"Intel AVX, Intel AVX2, Intel AVX512, Intel Turbo",,AmazonEC2,Amazon Elastic Compute Cloud,1 x 200 NVMe SSD,,Host,,,,HostBoxUsage:c5d.2xlarge,8,,Compute Instance,UJABTBNZHX8ZMS94
274,Used,2.5 GHz,No,,,27,,Yes,,,,,,,,,,,,,,,,,,,,,Storage optimized,i2.2xlarge,,,,No License required,US East (N. Virginia),AWS Region,,,,,61 GiB,High,16,Windows,RunInstances:0002,,Intel Xeon E5-2670 v2 (Ivy Bridge),NA,64-bit,Intel AVX; Intel Turbo,,AmazonEC2,Amazon Elastic Compute Cloud,2 x 800 SSD,,Host,,,,HostBoxUsage:i2.2xlarge,8,,Compute Instance,Z8KQMF3Z8ZFPNANM
278,Used,2.5 GHz,No,,,6.5,,Yes,,,,,,,,,,,,,,,,,,,,,Memory optimized,r3.large,,,,No License required,US East (N. Virginia),AWS Region,,,,,15.25 GiB,Moderate,4,Windows,RunInstances:0006,,Intel Xeon E5-2670 v2 (Ivy Bridge),SQL Std,64-bit,Intel AVX; Intel Turbo,,AmazonEC2,Amazon Elastic Compute Cloud,1 x 32 SSD,,Shared,,,,BoxUsage:r3.large,2,,Compute Instance,BD398TEHQSUMAUDS
285,Used,2.3 GHz,Yes,1750 Mbps,,47,,Yes,,,,,,,,,,,,,,,,,,,,,Memory optimized,x1e.4xlarge,Yes,Yes,,No License required,US East (N. Virginia),AWS Region,,,,,488 GiB,Up to 10 Gigabit,32,RHEL,RunInstances:0010,,High Frequency Intel Xeon E7-8880 v3 (Haswell),NA,64-bit,"Intel AVX, Intel AVX2",,AmazonEC2,Amazon Elastic Compute Cloud,1 x 480 SSD,,Dedicated,,,,DedicatedUsage:x1e.4xlarge,16,,Compute Instance,8U8GT7P4FU5ABATQ
287,Used,2.5 GHz,No,,,104,,Yes,,,,,,,,,,,,,,,,,,,,,Memory optimized,r3.8xlarge,,,,No License required,US East (N. Virginia),AWS Region,,,,,244 GiB,10 Gigabit,64,Windows,RunInstances:0002,,Intel Xeon E5-2670 v2 (Ivy Bridge),NA,64-bit,Intel AVX; Intel Turbo,,AmazonEC2,Amazon Elastic Compute Cloud,2 x 320 SSD,,Host,,,,HostBoxUsage:r3.8xlarge,32,,Compute Instance,F2NC9U5PH9XZD7CQ
294,Used,2.3 GHz,Yes,1600 Mbps,,27,,Yes,,,,,,,,,,,,,,,,,,,,,Memory optimized,r4.2xlarge,,,,No License required,US East (N. Virginia),AWS Region,,,,,61 GiB,Up to 10 Gigabit,16,Windows,RunInstances:0102,,Intel Xeon E5-2686 v4 (Broadwell),SQL Ent,64-bit,"Intel AVX, Intel AVX2, Intel Turbo",,AmazonEC2,Amazon Elastic Compute Cloud,EBS only,,Host,,,,HostBoxUsage:r4.2xlarge,8,,Compute Instance,TKW4P5TMSVH4PAQ3
295,Used,2.8 GHz,No,,,7,,Yes,,,,,,,,,,,,,,,,,,,,,Compute optimized,c3.large,,,,No License required,US East (N. Virginia),AWS Region,,,,,3.75 GiB,Moderate,4,Linux,RunInstances:0200,,Intel Xeon E5-2680 v2 (Ivy Bridge),SQL Web,32-bit or 64-bit,Intel AVX; Intel Turbo,,AmazonEC2,Amazon Elastic Compute Cloud,2 x 16 SSD,,Dedicated,,,,DedicatedUsage:c3.large,2,,Compute Instance,DJMGD4XFZY235BNV
300,Used,2.4 GHz,Yes,4000 Mbps,,124.5,,Yes,,,,,,,,,,,,,,,,,,,,,General purpose,m4.10xlarge,,,,No License required,US East (N. Virginia),AWS Region,,,,,160 GiB,10 Gigabit,80,Windows,RunInstances:0006,,Intel Xeon E5-2676 v3 (Haswell),SQL Std,64-bit,Intel AVX; Intel AVX2; Intel Turbo,,AmazonEC2,Amazon Elastic Compute Cloud,EBS only,,Host,,,,HostBoxUsage:m4.10xlarge,40,,Compute Instance,3FHKPAK9WZBH4HVY
