accountNumber,serverId,name,macAddress,family,ipAddress,gateway,netMask,portGroupName,portGroupId,virtualSwitchName,state,creationTimeStamp,lastModifiedTimeStamp
049450565398,d-server-0a1817196e95f7b21,,00:50:56:81:1c:af,,,,,VM Network,VM Network,VM Network,ACTIVE,,
049450565398,d-server-0fe6c859c1fdaf54a,,00:50:56:81:00:39,,,,,Trunk 240,Trunk 240,Trunk 240,ACTIVE,,
049450565398,d-server-0ff7228c9e1e0920b,,00:50:56:81:6d:62,,,,,Trunk 110,Trunk 110,Trunk 110,ACTIVE,,
049450565398,d-server-04afcd58e7d77f784,vmnic2,1c:98:ec:18:ff:fa,,,,,,,,ACTIVE,,
049450565398,d-server-04afcd58e7d77f784,vmnic3,1c:98:ec:18:ff:fb,,,,,,,,ACTIVE,,
049450565398,d-server-04afcd58e7d77f784,vmnic1,1c:98:ec:18:ff:f9,,,,,,,,ACTIVE,,
049450565398,d-server-04afcd58e7d77f784,vmnic0,1c:98:ec:18:ff:f8,,,,,,,,ACTIVE,,
049450565398,d-server-0ac0884be2cfab17b,vmnic2,00:25:b5:10:01:9f,,,,,,,,ACTIVE,,
049450565398,d-server-0ac0884be2cfab17b,vmnic0,00:25:b5:10:01:7f,,,,,,,,ACTIVE,,
049450565398,d-server-0ac0884be2cfab17b,vmnic3,00:25:b5:10:01:8f,,,,,,,,ACTIVE,,
049450565398,d-server-0ac0884be2cfab17b,vmnic1,00:25:b5:10:01:6f,,,,,,,,ACTIVE,,
049450565398,d-server-06fd6472c64117dab,,00:50:56:81:12:8f,,,,,Trunk 110,Trunk 110,Trunk 110,ACTIVE,,
049450565398,d-server-098d24604e11464e5,,00:50:56:81:0e:83,,,,,Trunk 240,Trunk 240,Trunk 240,ACTIVE,,
049450565398,d-server-00fb0eeb57b266723,,00:50:56:81:42:df,,,,,VM Network,VM Network,VM Network,ACTIVE,,
049450565398,d-server-0f70e5d200f09304f,vmnic1,3c:4a:92:f2:16:4f,,,,,,,,ACTIVE,,
049450565398,d-server-0f70e5d200f09304f,vmnic0,3c:4a:92:f2:16:4e,,,,,,,,ACTIVE,,
049450565398,d-server-0cb1f72b298bae462,,00:50:56:81:00:57,,,,,Trunk 240,Trunk 240,Trunk 240,ACTIVE,,
049450565398,d-server-085b4bcb9ce51ebc6,,00:50:56:81:00:3a,,,,,Trunk 240,Trunk 240,Trunk 240,ACTIVE,,
049450565398,d-server-066ce901e93485bbb,,00:50:56:81:7a:34,,,,,Trunk 105,Trunk 105,Trunk 105,ACTIVE,,
049450565398,d-server-0411dc801273073e7,,00:50:56:81:00:5a,,,,,128 Subnet,128 Subnet,128 Subnet,ACTIVE,,
049450565398,d-server-03343168d82ec0116,,00:50:56:81:51:f2,,,,,Trunk 100,Trunk 100,Trunk 100,ACTIVE,,
049450565398,d-server-0176e40f35705ff51,,00:50:56:81:00:1f,,,,,Trunk 241,Trunk 241,Trunk 241,ACTIVE,,
049450565398,d-server-0f11c065aba25f75f,,00:50:56:81:33:d3,,,,,Trunk 105,Trunk 105,Trunk 105,ACTIVE,,
